ref_user_id,full_name,phone_number,line_account,missed_deposit,last_activity
USER_52VS,พิมพกานต์ ตระกูลไม้เรียง,0948852456,phaasinii29,100,ฝากเงินไม่เข้า
USER_86UI,นราวรรณ ทองเนื้อดี,0906607217,numkankhwayrung,100,ฝากเงินไม่เข้า
USER_04RS,โชติวุฒิ เนื่องนนท์,0963589056,lsaaraphanth,100,ถอนเงินล่าช้า
USER_48DN,ปิยบุตร นพคเชนทร์,0994050596,ngaamphiechsthchadchaa,100,ต้องการปิดยูส
USER_01II,ณัฐจศักดิ์ พานเกล้า,0953045941,nubaal40,1000,ต้องการปิดยูส
USER_64BF,เกษรา ตั้งกุลงาม,0989150344,uthnmphl,500,เล่นสล็อต
USER_46LT,เอนกพงศ์ ดิศดใน,0964922896,etchakamphuwaasuethph,1000,ฝากเงินไม่เข้า
USER_20ED,ปิยะชาติ ถาวระวรณ์,0981867809,tanthnuchcchd,200,ถอนเงินล่าช้า
USER_01EE,เอกอธิพงษ์ ธรรมฤดี,0976755204,tansthityentilaksn,100,ฝากเงินไม่เข้า
USER_15YE,อำพร พรสีมา,0927293867,iduriyphanthu,1000,สอบถามโบนัส
USER_89HV,นภนต์ นฤทุกข์,0914121403,triinuch12,100,ถอนเงินล่าช้า
USER_49GF,อรจิรา แต้กุล,0927932664,ethphnrngkhphrrsaaskul,100,สอบถามโบนัส
USER_29KL,โสภณ ธูปะวิโรจน์,0986339689,jaithaichoy,1000,สอบถามโบนัส
USER_65CI,คมกริบ ตั้งกุลงาม,0986827384,achatrphiethiiyngkham,200,เล่นสล็อต
USER_68QA,ราชัน เลิศกิ่ง,0948762020,reyaawthnochkh,1000,ต้องการปิดยูส
USER_77SM,พิชาภพ นิลวิมล,0910398906,nraawrrn13,500,ต้องการปิดยูส
USER_38NB,เกียรติก้อง ทัศนสุทธิ,0990176407,madthngsukelis,100,ต้องการปิดยูส
USER_69WR,จันทภา นิษประปัญจ์,0999877751,thaaraadamrihchb,100,ต้องการปิดยูส
USER_73OP,อาซือมะ ศรีสัตย์,0973102638,twuththyaakr,100,สอบถามโบนัส
USER_84TG,มะลีวัลย์ ทองประดิฐ,0991331623,khdieyaaadiitphanthu,1000,สอบถามโบนัส
